,date,value
894,2021-04-19,12512107.923000008
895,2021-04-20,12512107.923000008
896,2021-04-21,12512107.923000008
897,2021-04-22,12462826.923000008
898,2021-04-23,12428085.17110001
899,2021-04-26,12441632.475300008
900,2021-04-27,12437599.399000008
901,2021-04-28,12476575.837200008
902,2021-04-30,12531415.095100008
903,2021-05-06,12543711.119800009
904,2021-05-07,12574902.729400009
905,2021-05-10,12576310.034800008
906,2021-05-11,12576310.034800008
907,2021-05-12,12562767.939100008
908,2021-05-13,12512950.57350001
909,2021-05-14,12461028.621500008
910,2021-05-17,12491333.396600008
911,2021-05-18,12566128.024400009
912,2021-05-19,12587887.201400008
913,2021-05-20,12587887.201400008
914,2021-05-21,12577690.62980001
915,2021-05-24,12605058.78580001
916,2021-05-25,12626385.814000009
917,2021-05-26,12644587.38150001
918,2021-05-27,12644587.38150001
919,2021-05-28,12675809.694700008
920,2021-05-31,12675776.35740001
921,2021-06-01,12641010.762500009
922,2021-06-02,12662915.215700008
923,2021-06-03,12725460.482800009
924,2021-06-04,12725460.482800009
925,2021-06-07,12623600.963400008
926,2021-06-08,12623600.963400008
927,2021-06-09,12623600.963400008
928,2021-06-10,12610664.522500008
929,2021-06-11,12610664.522500008
930,2021-06-14,12623013.04720001
